_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
210,209,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2005,,,,5443,
211,210,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2006,,,,5541,
212,211,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2007,,,,6136,
213,212,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2008,,,,5515,
214,213,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2009,,,,5569,
215,214,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2010,,,,6023,
216,215,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2011,,,,6404,
217,216,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2012,,,,6585,
218,217,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2013,,,,7512,
219,218,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2014,,,,7453,
220,219,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2015,,,,7524,
221,220,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2016,,,,7857,
222,221,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2000,,,,1524,
223,222,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2001,,,,1392,
224,223,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2002,,,,1507,
225,224,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2003,,,,2269,
226,225,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2004,,,,1602,
227,226,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2005,,,,3357,
228,227,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2006,,,,9061,
229,228,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2007,,,,6434,
230,229,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2008,,,,4677,
231,230,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2009,,,,3780,
232,231,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2010,,,,9323,
233,232,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2011,,,,7942,
234,233,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2012,,,,9639,
235,234,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2013,,,,9365,
236,235,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2014,,,,9222,
237,236,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2015,,,,8677,
238,237,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2016,,,,9116,
239,238,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2000,,,,464,
240,239,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2001,,,,788,
241,240,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2002,,,,1064,
242,241,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2003,,,,1586,
243,242,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2004,,,,2363,
244,243,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2005,,,,1362,
245,244,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2006,,,,1509,
246,245,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2007,,,,2832,
247,246,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2008,,,,2220,
248,247,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2009,,,,2415,
249,248,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2010,,,,2610,
250,249,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2011,,,,2275,
251,250,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2012,,,,2008,
252,251,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2013,,,,2599,
253,252,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2014,,,,3028,
254,253,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2015,,,,3635,
255,254,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2016,,,,3569,
256,255,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2000,,,,2085,
257,256,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2001,,,,4667,
258,257,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2002,,,,4974,
259,258,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2003,,,,5852,
260,259,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2004,,,,5800,
261,260,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2005,,,,6884,
262,261,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2006,,,,7336,
263,262,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2007,,,,7887,
264,263,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2008,,,,9072,
265,264,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2009,,,,5425,
266,265,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2010,,,,6877,
267,266,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2011,,,,7075,
268,267,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2012,,,,11155,
269,268,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2013,,,,18552,
270,269,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2014,,,,25726,
271,270,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2015,,,,30312,
272,271,Produksi Daging Ayam Ras Petelur menurut Provinsi_,35,Jawa Timur,2016,,,,31089,
273,272,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2000,,,,,
274,273,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2001,,,,3238,
275,274,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2002,,,,3853,
276,275,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2003,,,,1478,
277,276,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2004,,,,1235,
278,277,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2005,,,,881,
279,278,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2006,,,,2825,
280,279,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2007,,,,2668,
281,280,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2008,,,,2108,
282,281,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2009,,,,1894,
283,282,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2010,,,,1558,
284,283,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2011,,,,2547,
285,284,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2012,,,,1104,
286,285,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2013,,,,2148,
287,286,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2014,,,,3905,
288,287,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2015,,,,4200,
289,288,Produksi Daging Ayam Ras Petelur menurut Provinsi_,36,Banten,2016,,,,4255,
290,289,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2000,,,,1199,
291,290,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2001,,,,18576,
292,291,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2002,,,,1531,
293,292,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2003,,,,2004,
294,293,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2004,,,,2483,
295,294,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2005,,,,1211,
296,295,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2006,,,,2318,
297,296,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2007,,,,1007,
298,297,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2008,,,,1090,
299,298,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2009,,,,1098,
300,299,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2010,,,,1173,
301,300,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2011,,,,1390,
302,301,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2012,,,,1366,
303,302,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2013,,,,2372,
304,303,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2014,,,,2373,
305,304,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2015,,,,2708,
306,305,Produksi Daging Ayam Ras Petelur menurut Provinsi_,51,Bali,2016,,,,2742,
307,306,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2000,,,,332,
308,307,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2001,,,,3036,
309,308,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2002,,,,160,
310,309,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2003,,,,3653,
311,310,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2004,,,,4439,
312,311,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2005,,,,7148,
313,312,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2006,,,,135,
314,313,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2007,,,,62,
315,314,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2008,,,,65,
316,315,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2009,,,,149,
317,316,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2010,,,,174,
318,317,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2011,,,,120,
319,318,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2012,,,,104,
320,319,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2013,,,,147,
321,320,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2014,,,,218,
322,321,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2015,,,,256,
323,322,Produksi Daging Ayam Ras Petelur menurut Provinsi_,52,Nusa Tenggara Barat,2016,,,,280,
324,323,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2000,,,,,
325,324,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2001,,,,142,
326,325,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2002,,,,61,
327,326,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2003,,,,62,
328,327,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2004,,,,69,
329,328,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2005,,,,63,
330,329,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2006,,,,63,
331,330,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2007,,,,66,
332,331,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2008,,,,58,
333,332,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2009,,,,20,
334,333,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2010,,,,78,
335,334,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2011,,,,132,
336,335,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2012,,,,108,
337,336,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2013,,,,34,
338,337,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2014,,,,34,
339,338,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2015,,,,34,
340,339,Produksi Daging Ayam Ras Petelur menurut Provinsi_,53,Nusa Tenggara Timur,2016,,,,34,
341,340,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2000,,,,,
342,341,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2001,,,,,
343,342,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2002,,,,,
344,343,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2003,,,,,
345,344,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2004,,,,188,
346,345,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2005,,,,368,
347,346,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2006,,,,1852,
348,347,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2007,,,,480,
349,348,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2008,,,,526,
350,349,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2009,,,,523,
351,350,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2010,,,,935,
352,351,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2011,,,,1484,
353,352,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2012,,,,1289,
354,353,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2013,,,,2496,
355,354,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2014,,,,3411,
356,355,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2015,,,,2738,
357,356,Produksi Daging Ayam Ras Petelur menurut Provinsi_,61,Kalimantan Barat,2016,,,,1834,
358,357,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2000,,,,5,
359,358,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2001,,,,6,
360,359,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2002,,,,3,
361,360,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2003,,,,2,
362,361,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2004,,,,6,
363,362,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2005,,,,6,
364,363,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2006,,,,20,
365,364,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2007,,,,163,
366,365,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2008,,,,170,
367,366,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2009,,,,22,
368,367,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2010,,,,276,
369,368,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2011,,,,11,
370,369,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2012,,,,29,
371,370,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2013,,,,41,
372,371,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2014,,,,21,
373,372,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2015,,,,35,
374,373,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2016,,,,35,
375,374,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2000,,,,261,
376,375,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2001,,,,284,
377,376,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2002,,,,221,
378,377,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2003,,,,824,
379,378,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2004,,,,305,
380,379,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2005,,,,197,
381,380,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2006,,,,722,
382,381,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2007,,,,641,
383,382,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2008,,,,1158,
384,383,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2009,,,,1485,
385,384,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2010,,,,1886,
386,385,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2011,,,,1329,
387,386,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2012,,,,2088,
388,387,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2013,,,,1529,
389,388,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2014,,,,3143,
390,389,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2015,,,,2202,
391,390,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2016,,,,2722,
392,391,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2000,,,,395,
393,392,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2001,,,,180,
394,393,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2002,,,,212,
395,394,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2003,,,,406,
396,395,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2004,,,,265,
397,396,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2005,,,,314,
398,397,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2006,,,,331,
399,398,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2007,,,,354,
400,399,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2008,,,,426,
401,400,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2009,,,,469,
402,401,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2010,,,,1420,
403,402,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2011,,,,1420,
404,403,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2012,,,,716,
405,404,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2013,,,,553,
406,405,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2014,,,,310,
407,406,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2015,,,,436,
408,407,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2016,,,,515,
409,408,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2000,,,,,
410,409,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2001,,,,,
411,410,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2002,,,,,
